Model,Avg_Spike_Rate,Est_Energy,Energy_per_Param,Inference_Time_ms,FPS,Total_Params
LIF,0.1009,5.55e+06,2.17e+00,13.78,1161.2,"2,567,082"
IF_Hard,0.1669,5.67e+06,2.22e+00,12.86,1244.2,"2,567,082"
IF_Soft,0.2795,5.91e+06,2.31e+00,12.09,1323.4,"2,567,082"
