epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2956140352730254,2.287600785446167,13.73,53.79
1,2.1989712226711378,2.257191341781616,19.36,64.34
2,2.1125938700042215,2.2231741024017335,22.49,70.4
3,2.053687564542138,2.095573645019531,26.84,74.96
4,2.011305013020426,2.0182901287078856,29.67,76.57
5,1.9711454183282986,2.0531022022247316,26.27,77.81
6,1.9359208609474758,1.8950104415893554,33.86,80.33
7,1.919826203210711,1.823464640235901,35.05,84.54
8,1.9020111513504145,1.7448972555160522,38.3,84.75
9,1.87886762130581,2.037644927215576,29.12,85.2
10,1.8621178035088903,1.6618242694854737,41.72,87.58
11,1.8486078292245902,1.8266105226516725,34.25,84.82
12,1.8400896178622863,1.5115418745040894,46.32,90.68
13,1.8296392902674656,1.7084486101150513,38.13,88.16
14,1.8250106247988613,1.6594256462097168,41.16,88.18
15,1.8085805817236515,1.5646929988861085,46.61,88.78
16,1.8053644292638489,1.6842662706375122,39.55,88.38
17,1.8030580415005262,1.8034598775863648,36.79,84.7
18,1.790933780877752,1.664808899307251,39.84,89.42
19,1.7776486911785894,1.6873976305007934,38.86,89.42
20,1.7731999961728475,1.681782107925415,42.1,84.42
21,1.767663053300103,1.6266358863830566,44.41,87.94
22,1.7518856029351755,1.5667166248321533,46.74,89.88
23,1.7607107486065463,1.9455346424102784,29.06,84.4
24,1.7371565981192107,1.8127621328353882,34.72,84.27
25,1.7472021100463087,1.69864376411438,39.77,87.53
26,1.7362102862356872,1.9225085592269897,31.72,86.54
27,1.7271146110322197,1.706403276824951,39.26,88.62
28,1.717376013113503,1.6530195220947266,44.72,86.72
29,1.7309369785990207,1.603244542312622,46.09,91.74
30,1.719201443747888,1.6364660821914674,42.81,88.98
31,1.7145911998541192,1.6409116333007812,42.29,90.08
32,1.7061665645787414,1.5747745029449463,47.83,90.2
33,1.7045934268973395,1.7143273189544679,40.52,86.11
34,1.7037982983412114,1.8089973863601685,33.94,85.25
35,1.6853425792786896,1.9583802345275878,30.05,78.31
36,1.700282356039968,1.6948038681030273,40.55,88.61
37,1.698346708251328,1.9296625301361083,31.84,77.93
38,1.6780684899429048,1.9724062839508056,30.7,82.87
39,1.6978295340886036,2.151020671081543,25.07,79.53
40,1.6733206989823168,1.8668777055740355,34.78,82.6
41,1.6800806934488568,1.85892708568573,32.36,85.67
42,1.6776809625222648,1.8173821910858154,35.19,83.04
43,1.6898215949611688,1.8041435970306396,37.92,81.36
44,1.676268565212108,1.8560621181488037,33.67,85.99
45,1.6626454294109467,1.7689925672531128,37.45,85.78
46,1.6571621273604917,1.7062939363479614,41.24,87.98
47,1.6504280315318578,1.677325824546814,44.43,89.18
48,1.661647282550338,1.962751242828369,30.81,83.41
