epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2942277649453295,2.134864782714844,20.49,75.04
1,2.0832854199501067,1.700852026939392,42.18,90.59
2,1.9626216242774348,1.5133365474700928,49.44,93.45
3,1.8789888266259362,1.4205242944717407,52.49,93.58
4,1.8032817527670866,1.3255297437667846,56.77,93.01
5,1.744873627810411,1.2218688734054566,62.06,95.69
6,1.6990022573825188,1.109834736251831,65.48,97.11
7,1.681799532204065,1.02847413520813,68.56,97.28
8,1.6488160488700134,0.9988301549911499,69.77,97.49
9,1.6113685641184965,0.9382612895965576,72.37,98.04
10,1.5881810778997618,0.9102512820243835,72.43,97.77
11,1.5584679211605525,0.8349468198776245,76.47,98.32
12,1.5527040599708215,0.8720790830612183,74.59,98.05
13,1.5322008356547385,0.8189737607002259,76.0,98.17
14,1.5269299595212509,0.8456438432693482,76.23,98.22
15,1.5047594582836088,0.7845479287147522,77.68,98.63
16,1.5037593368378859,0.8587737055778504,75.83,98.06
17,1.4973772555093607,0.7924590863227844,78.27,98.31
18,1.4794678648363766,0.7745685591697693,78.16,98.25
19,1.4684109273396442,0.7731123762130737,78.12,98.48
20,1.4513914696538341,0.7084097974777221,80.87,98.66
21,1.4475398570413627,0.6623441440582275,82.28,99.01
22,1.4238572621314993,0.6643405547142028,82.55,99.05
23,1.43198746526745,0.6581660940170289,83.05,98.94
24,1.4059543055547794,0.6954105566978455,81.13,98.5
25,1.4171505240716336,0.6576497807502747,82.72,98.72
26,1.3996420031015149,0.6063073897361755,84.17,99.27
27,1.384012540690267,0.671580047750473,84.06,99.06
28,1.3734427489025491,0.6543502116203308,84.1,99.18
29,1.3933543668208446,0.6212499633789063,84.41,99.06
30,1.371056700714419,0.5922680116176605,86.34,99.2
31,1.3643660420186998,0.5726717580795289,85.51,99.42
32,1.3552858221240904,0.5410541355133056,86.24,99.38
33,1.3537785845132553,0.5965549081802368,85.13,99.11
34,1.3530351727933798,0.59668574924469,85.35,99.27
35,1.331931742678531,0.5903891134738922,85.34,99.31
36,1.3445778553220282,0.5360140488147735,87.43,99.29
