epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2838991002755646,2.2001976219177246,22.69,72.01
1,2.1245060931705178,1.770539701271057,38.35,89.44
2,2.0063292507020214,1.5818733135223388,46.6,92.2
3,1.91781614364033,1.5665135875701903,45.31,91.14
4,1.842277249819796,1.3826304374694824,53.62,92.47
5,1.7839225348986676,1.2724867357254028,58.71,95.09
6,1.7357706330649831,1.1533312768936157,63.2,95.82
7,1.7091110654738129,1.0587530292510987,68.02,97.09
8,1.673649544905151,1.0282598897933959,67.35,97.18
9,1.6351657167134304,1.0862098509788514,65.74,97.1
10,1.6092161459135186,0.9552258811950683,71.24,97.71
11,1.5798366723078925,0.8810498609542846,74.15,98.26
12,1.5735437467064657,0.9146893190383911,72.68,97.78
13,1.5544016458924081,0.8297296931266784,76.04,98.53
14,1.544195433432253,0.804310612487793,78.0,98.84
15,1.5218103765372888,0.84293899269104,76.22,98.35
16,1.5190208071935802,0.8518653059005737,76.59,97.86
17,1.5084332503979399,0.8147143657684326,77.21,98.51
18,1.4880753569352643,0.8113365356445312,76.7,98.07
19,1.4785155814985307,0.7419908217430115,80.16,98.77
20,1.4650371391397738,0.7220754784584046,80.53,98.87
21,1.4576779463532334,0.6872178853988647,81.05,98.84
22,1.4359810459934337,0.6546028595924377,82.95,98.93
23,1.4494903009008049,0.661724997806549,82.71,99.01
24,1.4197804517233112,0.7021597491264343,81.65,98.99
25,1.4282584643699754,0.6557746149063111,83.52,99.04
26,1.4082564785599556,0.6772009947776795,81.68,99.09
27,1.3912297246856054,0.6474521967887878,84.78,99.14
28,1.3740319795858844,0.6368899481773377,84.76,99.16
29,1.3941220742639597,0.6148708940505981,84.66,99.16
30,1.3700430928210747,0.6079635245323182,84.65,99.41
31,1.364859746986101,0.5854634366989135,84.95,99.17
32,1.3547047107992038,0.5338543982028962,86.69,99.34
33,1.3561230182037158,0.6225871194839477,84.29,99.16
34,1.3537094443464095,0.5565486562728882,86.37,99.32
35,1.329598273495248,0.6151105201244355,84.61,99.19
36,1.3424245860909378,0.5435150196075439,86.42,99.43
37,1.338308477981753,0.575955216550827,86.49,99.37
38,1.3124179785138665,0.608973801612854,86.52,99.14
39,1.3406184150833784,0.5745676497459412,86.93,99.49
40,1.3045878983490293,0.5221102251052856,86.85,99.53
41,1.3164334681061562,0.5505847472190857,87.37,99.39
42,1.3107402468918228,0.60026258020401,86.25,99.17
43,1.332573575796452,0.5645548873901367,87.84,99.32
44,1.3084059452277903,0.5576239995479584,86.62,99.31
45,1.2927975250114705,0.5132326784133912,88.07,99.51
46,1.288137106065103,0.5300758427619934,87.83,99.41
47,1.27454660315825,0.5795395661354065,87.11,99.25
