epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.301565831815693,2.1546311393737794,20.51,73.1
1,2.0975595769137336,1.7411783763885498,41.38,89.84
2,1.9908644704293654,1.5696501251220702,48.52,92.73
3,1.9206529767198843,1.429749531173706,52.85,94.31
4,1.8500600531220284,1.3373737434387207,56.61,94.15
5,1.784933090667871,1.2716418365478515,59.73,95.51
6,1.7354456999848349,1.157254008102417,65.03,96.57
7,1.715884824263149,1.0860899599075318,66.82,97.13
8,1.684697186748441,1.0172748849868773,69.77,97.73
9,1.6441345729229544,0.9782518751144409,71.58,97.94
10,1.6181683563239748,0.9246222009658813,72.93,98.04
11,1.587146941892011,0.8596609227180481,75.35,98.43
12,1.575034100939156,0.8728674182891846,75.42,98.24
13,1.5545904793598893,0.8171356022834778,76.71,98.29
14,1.547499952029327,0.8008429341316223,78.67,98.75
15,1.525013280052229,0.8267500220298767,77.25,98.62
16,1.5207795335907637,0.7999692146301269,78.68,98.63
17,1.5139936449891016,0.7745648957252502,79.63,98.76
18,1.4961786601363316,0.7384897778511047,79.75,98.67
19,1.4804620216964302,0.7215817316055297,81.36,98.71
20,1.46471742722808,0.7449492072105408,79.3,98.79
21,1.4602085629742827,0.6756911478042602,82.27,99.04
22,1.4330387751210514,0.6423544036865234,82.84,99.25
23,1.4392184190041888,0.6731384331703186,82.78,98.94
24,1.4131427942256463,0.6911625618934631,81.9,98.72
25,1.423773981544944,0.6626746706962585,83.36,99.0
26,1.40663038218983,0.6093903248786926,84.92,99.05
27,1.3907360480323185,0.6448638165473938,84.18,99.22
28,1.3803790409342123,0.6466249269485473,84.63,99.17
29,1.400001185575307,0.6623596632957458,84.25,99.03
30,1.3777902331608665,0.6554391874313354,85.49,99.13
31,1.372992570894781,0.5702076329708099,85.38,99.24
32,1.362933367376291,0.5594415696144104,86.04,99.41
33,1.3581091716561213,0.6081970005989075,85.27,99.19
34,1.3605529401122227,0.578849448633194,85.99,99.25
35,1.3392467004236277,0.5825965384960174,86.26,99.32
36,1.351497837126484,0.5741155121803284,86.67,99.45
37,1.3463187028442851,0.5982296941757203,86.54,99.36
38,1.3182892432286095,0.5657176710605621,86.79,99.45
39,1.3499782276977803,0.599892481136322,87.57,99.49
40,1.3153280573068293,0.5324958002090454,87.18,99.52
41,1.3277959309222604,0.5837587973594666,87.21,99.31
42,1.3196568006742626,0.5966861394405365,87.15,99.32
43,1.3414341232688112,0.5581361419200898,87.42,99.3
44,1.3171133800444317,0.5484254149436951,87.85,99.45
45,1.303072831236904,0.5462699692726135,88.39,99.37
46,1.2954801280580928,0.5246676157951355,88.16,99.47
47,1.2866275661580846,0.5914148640155792,87.76,99.41
48,1.3055564131535276,0.5103060933589936,87.5,99.44
49,1.2922871555470017,0.5745389873504638,87.89,99.47
50,1.2878296127239965,0.5484057103157044,88.66,99.46
51,1.299150235292701,0.5873745699882508,87.59,99.25
52,1.2911085338354416,0.48274760527610777,88.62,99.62
53,1.2904954469463432,0.5145448617935181,89.03,99.53
54,1.282904224649129,0.4784904067993164,89.19,99.5
55,1.272774132357364,0.53465363240242,88.47,99.47
56,1.267655398644192,0.4848254283428192,88.89,99.56
57,1.2691512493256876,0.4975604257583618,89.24,99.52
58,1.2776599181446315,0.5138514105796814,89.2,99.53
59,1.2656174480686115,0.48640737438201903,89.18,99.62
60,1.2779407701938008,0.5813352077484131,89.21,99.37
61,1.2620491256481858,0.4923035557746887,89.6,99.58
62,1.2771061838970599,0.5419144721031189,88.21,99.48
63,1.2789414629588207,0.5592425618171691,88.55,99.5
64,1.288410731909675,0.5354885035037994,89.42,99.56
65,1.2708195789828038,0.4843330411911011,89.49,99.62
66,1.25734698558739,0.5106107694149017,89.11,99.54
67,1.2713918024996027,0.47836439385414126,90.21,99.6
68,1.2671948854505024,0.46418029127120974,90.25,99.55
69,1.24180776422674,0.5335436897277832,89.66,99.62
